sample	reads
14_0903_02_20cm	180236228
14_0903_02_30cm	326757908
14_0903_02_40cm	98742024
14_0903_05_20cm	200984624
14_0903_05_30cm	150255852
14_0903_05_40cm	210514016
14_0903_09_20cm	129626512
14_0903_09_30cm	115311844
14_0903_09_40cm	176794876
14_0903_12_20cm	167326928
14_0903_12_30cm	162058320
14_0903_12_40cm	241568596
14_0903_13_20cm	229851044
14_0903_13_30cm	874907556
14_0903_13_40cm	165825136
14_0903_16_20cm	256352392
14_0903_16_30cm	223102556
14_0903_16_40cm	292386764
14_0919_02_20cm	205145580
14_0919_05_20cm	197476076
14_0919_09_20cm	208680872
14_0919_12_20cm	163481812
14_0927_02_20cm	169395692
14_0927_02_40cm	114668892
14_0927_05_20cm	217148276
14_0927_05_40cm	205541560
14_0927_09_20cm	180787484
14_0927_09_40cm	204547828
14_0927_12_20cm	184708308
14_0927_12_40cm	170372708
14_0929_02_20cm	181727224
14_0929_02_30cm	165869780
14_0929_02_40cm	167778880
14_0929_05_20cm	173160260
14_0929_05_30cm	183354896
14_0929_05_40cm	165197244
14_0929_09_20cm	189789616
14_0929_09_30cm	179496772
14_0929_09_40cm	168289444
14_0929_12_20cm	177319224
14_0929_12_30cm	151514348
14_0929_12_40cm	154553068
14_1009_02_20cm	124601556
14_1009_02_30cm	131553156
14_1009_02_40cm	152510576
14_1009_05_20cm	169580012
14_1009_05_30cm	136757676
14_1009_05_40cm	176089248
14_1009_09_20cm	193800040
14_1009_09_30cm	189264608
14_1009_09_40cm	158545568
14_1009_12_20cm	184583648
14_1009_12_30cm	155182064
14_1009_12_40cm	181212084
14_1009_13_20cm	170985240
14_1009_13_30cm	245945144
14_1009_13_40cm	160258956
14_1009_16_20cm	171352016
14_1009_16_30cm	488440496
14_1009_16_40cm	528341740
